shift_id,departure_time,reseverd_seat,line_name,comment
LLAW0730,7:30:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW0745,7:45:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW0800,8:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW0815,8:15:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW0825,8:25:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW0840,8:40:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW0900,9:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW0920,9:20:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW0940,9:40:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1000,10:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1020,10:20:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1040,10:40:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1100,11:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1120,11:20:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1140,11:40:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1200,12:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1300,13:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1320,13:20:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1340,13:40:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1400,14:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1420,14:20:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1440,14:40:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1500,15:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1520,15:20:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1540,15:40:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1600,16:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1620,16:20:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1630,16:30:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1700,17:00:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1715,17:15:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1730,17:30:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
LLAW1750,17:50:00,50,LoopLineAntiClockwise,校园巴士逆时针（菁菁堂发车时间)
